x,y,score
0.27,0.67,1.99215
0.88,0.32,2.3831
0.22,0.74,1.8078
0.96,0.36,2.3326
0.98,0.98,4.16305
0.73,0.49,2.6398
0.69,0.81,3.3252
0.49,0.77,2.6883
0.82,0.82,3.69065
0.36,0.15,2.59955
0.74,0.53,2.8381
0.52,0.93,2.75295
0.93,0.18,2.7163
0.14,0.23,1.74115
0.54,0.66,2.86385
0.54,0.24,2.49755
0.58,0.91,2.9224
0.62,0.87,3.0785
0.06,0.07,2.1078
0.02,0.14,1.30325
0.87,0.16,2.7472
0.01,0.05,1.9301
0.21,0.38,1.8856
0.1,0.91,1.35125
0.83,0.21,2.6143
0.6,0.6,2.99345
0.45,0.31,2.48865
0.66,0.14,2.7379
0.03,0.04,2.25695
0.46,0.41,2.5732
0.27,0.9,1.93055
0.51,0.97,2.7305
0.5,0.54,2.7612
0.17,0.76,1.6286
0.59,0.92,2.98255
0.83,0.49,2.54305
0.91,0.48,2.2228
0.19,0.09,2.46415
0.35,0.53,2.28605
0.37,0.86,2.30045
0.49,0.59,2.70505
0.44,0.2,2.5574
0.27,0.02,2.92315
0.56,0.17,2.64095
0.97,0.59,2.3837
0.91,0.95,3.96745
0.68,0.76,3.2803
0.56,0.61,2.9314
0.54,0.56,2.8153
0.69,0.61,3.23165
0.99,0.25,2.57275
0.13,0.35,1.5829
0.11,0.34,1.52465
0.61,0.83,3.06235
0.53,0.69,2.81055
0.99,0.01,3.11475
0.86,0.66,3.26445
0.55,0.98,2.83175
0.02,0.55,1.0998
0.76,0.34,2.3658
0.14,0.13,2.0751
0.74,0.61,3.15975
0.74,0.45,2.5401
0.85,0.73,3.58775
0.71,0.49,2.74585
0.1,0.06,2.4327
0.32,0.48,2.20345
0.17,0.35,1.75065
0.77,0.02,3.04775
0.77,0.36,2.38895
0.86,0.84,3.82505
0.77,0.83,3.5648
0.98,0.02,3.0876
0.67,0.84,3.2358
0.82,0.65,3.485
0.95,0.72,3.6317
0.19,0.13,2.28465
0.34,0.54,2.2448
0.19,0.57,1.75875
0.65,0.33,2.41235
0.17,0.23,1.8972
0.12,0.12,2.0589
0.12,0.61,1.476
0.58,0.49,2.74075
0.42,0.14,2.65925
0.42,0.03,2.9353
0.13,0.91,1.4669
0.79,0.1,2.8681
0.69,0.08,2.89445
0.95,0.33,2.40375
0.56,0.37,2.53855
0.06,0.25,1.36175
0.07,0.77,1.2747
0.2,0.63,1.7618
0.81,0.21,2.62105
0.6,0.37,2.4239
0.49,0.13,2.7044
0.39,0.1,2.7375
0.81,0.42,2.2377
0.75,0.67,3.43505
0.69,0.23,2.5595
0.62,0.95,3.07745
0.31,0.01,2.9669
0.54,0.1,2.7958
1.0,0.21,2.65765
0.45,0.89,2.55275
0.26,0.47,2.01515
0.16,0.38,1.7012
0.19,0.07,2.57975
0.46,0.1,2.77905
0.8,0.3,2.45605
0.01,0.2,1.171
0.09,0.76,1.3443
0.15,0.89,1.53575
0.53,0.28,2.4959
0.21,0.28,1.9472
0.61,0.88,3.0397
0.26,0.04,2.8493
0.39,0.34,2.40405
0.27,0.96,1.9465
0.85,0.6,2.976
0.49,0.83,2.68065
0.87,0.33,2.4024
0.51,0.44,2.6294
0.39,0.36,2.3673
0.73,0.29,2.43485
0.36,0.0,3.0079
0.26,0.66,1.9526
1.0,0.61,2.7146
0.37,0.5,2.3757
0.24,0.95,1.8389
0.03,0.14,1.3837
0.1,0.66,1.41285
0.63,0.51,2.79965
0.66,0.76,3.19785
0.46,0.32,2.4952
0.05,0.74,1.20545
0.19,0.6,1.7406
0.08,0.8,1.3019
0.0,0.68,1.0047
0.26,0.91,1.92195
0.64,0.87,3.144
0.82,0.93,3.69035
0.19,0.15,2.24065
0.74,0.02,3.0388
0.34,1.0,2.1601
0.08,0.9,1.28805
0.11,0.14,1.9015
0.4,0.71,2.38975
0.27,0.5,2.0429
0.73,0.3,2.4174
0.03,0.46,1.1516
0.79,0.56,2.77845
0.88,0.59,2.90355
0.24,0.94,1.8276
0.27,0.13,2.52685
0.5,0.71,2.7292
0.32,0.39,2.2208
0.09,0.86,1.32455
0.36,0.31,2.34745
0.04,0.84,1.1553
0.62,0.78,3.1062
0.87,0.32,2.43535
0.38,0.51,2.39775
0.64,0.53,2.91445
0.09,0.96,1.32425
0.75,0.4,2.43345
0.32,0.11,2.64885
0.93,0.54,2.37155
0.85,0.65,3.3535
0.91,0.75,3.8605
0.9,0.9,3.94425
0.09,0.26,1.49055
0.8,0.81,3.6471
0.73,0.09,2.86175
0.47,0.27,2.4873
0.86,0.31,2.4066
0.46,0.12,2.7126
0.7,0.8,3.34565
0.15,0.24,1.7737
0.37,0.29,2.3891
0.62,0.55,2.9152
0.07,0.9,1.27175
0.1,0.64,1.3874
0.21,0.42,1.85385
0.65,0.89,3.1589
0.32,0.56,2.19425
0.51,0.78,2.76735
0.68,0.87,3.26115
0.12,0.49,1.5115
0.94,0.41,2.2401
0.08,0.88,1.2831
0.51,0.26,2.51475
0.53,0.6,2.81935
0.27,0.35,2.101
0.16,0.25,1.80445
0.49,0.41,2.60155
0.76,0.07,2.92135
0.73,0.1,2.841
0.5,0.18,2.6064
0.32,0.85,2.12005
0.84,0.36,2.30375
0.27,0.59,2.0184
0.19,0.7,1.71785
0.19,0.84,1.69195
0.02,0.05,1.9212
0.1,0.25,1.55385
0.3,0.48,2.15135
0.42,0.3,2.45195
0.95,0.43,2.2361
0.46,0.52,2.59145
0.86,0.18,2.70025
0.7,0.26,2.48865
0.55,0.16,2.66315
0.08,0.4,1.37285
0.22,0.21,2.07965
0.41,0.54,2.4697
0.95,0.05,3.01095
0.64,0.01,3.0451
0.89,0.82,3.8067
0.31,0.71,2.1258
0.11,0.69,1.41945
0.78,0.81,3.586
0.66,0.74,3.21745
0.1,0.12,1.9238
0.87,0.8,3.84175
0.3,0.22,2.3058
0.64,0.73,3.14735
0.02,0.58,1.0962
0.84,0.89,3.7656
0.95,0.49,2.2021
0.86,0.89,3.8095
0.75,0.52,2.8329
0.24,0.71,1.87205
0.7,0.06,2.929
0.05,0.25,1.31945
0.64,0.66,3.14435
0.97,0.88,4.1457
0.97,0.21,2.6524
0.6,0.62,3.0152
0.75,0.16,2.7135
0.45,0.02,2.962
0.7,0.87,3.31405
0.33,0.01,2.97255
0.92,0.06,2.9788
0.24,0.04,2.8549
0.55,0.81,2.8614
0.92,0.94,3.9988
0.67,0.23,2.55855
0.6,0.84,3.0052
0.41,0.43,2.4531
0.76,0.9,3.48495
0.34,0.96,2.1764
0.93,0.7,3.268
0.4,0.68,2.4365
0.1,0.74,1.40015
0.1,0.65,1.40315
0.78,0.97,3.55455
0.32,0.81,2.12615
0.48,0.09,2.8056
0.24,0.98,1.84715
0.31,0.25,2.29115
0.33,0.13,2.62075
0.75,0.46,2.5783
0.56,0.53,2.88015
0.91,0.74,3.67585
0.39,0.06,2.8385
0.36,0.33,2.34825
0.2,0.67,1.75765
0.18,0.22,1.95185
0.83,0.97,3.7146
0.25,0.95,1.8566
0.1,0.85,1.3757
1.0,0.15,2.7922
0.57,0.89,2.90415
0.17,0.45,1.6929
0.46,0.44,2.6017
0.26,0.05,2.80005
0.85,0.99,3.7502
0.29,0.33,2.1606
0.95,0.16,2.75905
0.63,0.38,2.52765
0.72,0.31,2.4379
0.01,0.39,1.0847
0.96,0.96,4.10615
0.92,0.25,2.5381
0.1,0.6,1.42115
0.04,0.7,1.1682
0.37,0.81,2.3069
0.67,0.22,2.5567
0.78,0.24,2.52715
0.63,0.19,2.6083
0.69,0.96,3.28115
0.36,0.67,2.2995
0.1,0.97,1.36465
0.13,0.03,2.82785
0.39,0.9,2.3426
0.75,0.05,2.97685
0.46,0.5,2.57655
0.77,0.06,2.9536
0.53,0.29,2.5298
0.9,0.58,2.72895
0.48,0.43,2.61955
0.24,0.05,2.77935
0.15,0.93,1.5239
0.4,0.6,2.42235
0.33,0.23,2.36145
0.0,0.92,0.99765
0.81,0.74,3.5523
0.15,0.94,1.55425
0.74,0.63,3.2764
0.39,0.3,2.40425
0.62,0.14,2.72525
0.41,0.89,2.4247
0.66,0.09,2.85205
0.05,0.71,1.2076
0.41,0.12,2.69885
0.32,0.7,2.1542
0.14,0.91,1.50065
0.87,0.44,2.22855
0.48,0.73,2.6665
0.33,0.14,2.5604
0.12,0.42,1.53805
0.7,0.48,2.64325
0.95,0.2,2.6855
0.12,0.62,1.4697
0.63,0.41,2.607
0.27,0.48,2.06815
0.34,0.75,2.19885
0.87,0.04,3.019
0.04,0.53,1.18
0.24,0.03,2.8861
0.57,0.74,2.9517
0.49,0.26,2.5206
0.41,0.15,2.61445
0.83,0.22,2.59485
0.52,0.9,2.7572
0.99,0.14,2.81855
0.49,0.24,2.4968
0.75,1.0,3.45585
0.21,0.5,1.83045
0.21,0.68,1.78035
0.86,0.45,2.2564
0.1,0.37,1.4514
0.31,0.0,2.9986
0.85,0.1,2.8746
0.22,0.01,2.9412
0.65,0.07,2.89485
0.77,0.94,3.51385
0.45,0.29,2.49185
0.16,1.0,1.55365
0.82,0.61,3.15
0.46,0.47,2.5821
0.02,0.76,1.08275
0.95,0.79,3.9193
0.75,0.07,2.91555
0.03,0.42,1.16385
0.03,0.02,2.64685
0.72,0.55,2.88765
0.98,0.15,2.78435
0.39,0.32,2.4113
0.67,0.44,2.63385
0.55,0.15,2.6714
0.29,0.92,2.0245
0.99,0.36,2.3168
0.57,0.75,2.96885
0.46,0.8,2.5913
0.17,0.48,1.7049
0.58,0.89,2.945
0.67,0.41,2.59195
0.41,0.19,2.5312
0.09,0.14,1.72535
0.4,0.12,2.6946
0.2,0.69,1.76575
0.0,0.18,1.1376
0.3,0.36,2.16655
0.35,0.81,2.25165
0.58,0.95,2.92765
0.75,0.81,3.4931
0.13,0.38,1.56695
0.83,0.58,2.96745
0.53,0.22,2.5312
0.78,0.55,2.8182
0.49,0.03,2.95625
0.46,0.34,2.49295
0.31,0.08,2.765
0.84,0.57,2.72675
0.17,0.81,1.6031
0.33,0.79,2.17155
0.06,0.24,1.36915
0.65,0.39,2.5961
0.89,0.9,3.89835
0.27,1.0,1.92795
0.79,0.8,3.62865
0.05,0.41,1.2533
0.38,0.5,2.39165
0.25,0.22,2.1975
0.25,0.17,2.3579
0.14,0.77,1.5135
0.44,0.37,2.474
0.33,0.02,2.9399
0.49,0.18,2.60665
0.76,0.47,2.5088
0.24,0.08,2.65515
0.72,0.16,2.69465
0.4,0.35,2.42425
0.08,0.04,2.58035
0.16,0.88,1.58285
0.36,0.8,2.26205
0.31,0.84,2.0824
0.74,0.08,2.89275
0.41,0.66,2.43075
0.38,0.76,2.3327
0.82,0.69,3.46865
0.07,0.17,1.5606
0.65,0.62,3.11905
0.42,0.62,2.48905
0.6,0.49,2.80145
0.25,0.11,2.51455
0.91,0.13,2.8092
0.65,0.63,3.1164
0.26,0.53,1.99745
0.28,0.26,2.20675
0.04,1.0,1.1437
0.3,0.46,2.15195
0.35,0.29,2.3269
0.43,0.9,2.4871
0.51,0.29,2.45445
0.18,0.01,2.93175
0.48,0.34,2.5636
0.28,0.37,2.12545
0.26,0.4,2.03285
0.4,0.76,2.39065
0.82,0.92,3.66805
0.51,0.41,2.6129
0.97,0.12,2.84915
0.37,0.22,2.44255
0.76,0.11,2.8315
0.54,0.07,2.86505
0.31,0.37,2.19675
0.35,0.78,2.21165
0.35,0.09,2.73485
0.61,0.86,3.0554
0.83,0.74,3.5613
0.04,0.19,1.32785
0.56,0.84,2.9061
0.74,0.77,3.46375
0.97,0.39,2.274
0.95,0.85,4.04485
0.34,0.52,2.25315
0.05,0.8,1.193
0.15,0.0,2.9564
0.12,0.6,1.48805
0.58,0.67,2.9962
0.96,0.38,2.2761
0.67,0.66,3.2443
0.43,0.43,2.5286
0.54,0.22,2.5454
0.76,0.31,2.4264
0.81,0.92,3.6435
0.8,0.18,2.67215
0.09,0.82,1.3394
0.76,0.86,3.5209
0.38,0.19,2.5097
0.21,0.8,1.78495
0.94,0.18,2.7148
0.26,0.19,2.2987
0.08,0.93,1.27805
0.43,0.2,2.54025
0.71,0.16,2.6966
0.68,0.66,3.2763
0.53,0.31,2.4671
0.6,0.29,2.44765
0.65,0.32,2.37045
0.54,0.64,2.8597
0.84,0.97,3.74245
0.43,0.69,2.51175
0.05,0.42,1.25545
0.03,0.87,1.1062
0.85,0.91,3.7788
0.69,0.56,3.0288
0.54,0.39,2.5359
0.33,0.94,2.14755
0.0,0.02,2.3735
0.69,0.51,2.86305
0.57,0.86,2.9146
0.82,0.7,3.51955
0.34,0.1,2.70935
0.87,0.4,2.284
0.0,0.41,1.03225
0.64,0.29,2.4506
0.19,0.68,1.7342
0.18,0.14,2.1324
0.32,0.6,2.1824
0.08,0.14,1.71635
0.37,0.47,2.31605
0.58,0.33,2.5042
0.31,0.57,2.1335
0.85,0.15,2.76715
0.39,0.23,2.4426
0.1,0.28,1.54295
0.63,0.45,2.6384
0.36,0.75,2.2666
0.46,0.96,2.5668
0.21,0.75,1.7699
0.48,0.83,2.6341
0.86,0.53,2.6401
0.5,0.96,2.665
0.56,0.94,2.86915
0.17,0.65,1.6579
0.19,0.9,1.67445
0.61,0.96,3.0245
0.7,0.39,2.5257
1.0,0.41,2.2339
0.15,0.47,1.63565
0.5,0.78,2.7238
0.02,0.45,1.1063
0.45,0.6,2.59505
0.58,0.79,2.96855
0.56,0.11,2.77875
0.31,0.53,2.1595
0.91,0.21,2.63215
0.24,0.27,2.06
0.24,0.86,1.8612
0.97,0.2,2.6694
0.65,0.04,2.96555
0.92,0.92,3.99455
0.47,0.4,2.5354
0.54,0.3,2.498
0.33,0.89,2.15545
0.92,0.88,4.0048
0.25,0.49,1.9539
0.44,1.0,2.49765
0.36,0.32,2.32035
0.5,0.3,2.48055
0.68,0.58,3.0178
0.79,0.67,3.3906
0.01,0.56,1.05435
0.31,0.02,2.94305
0.31,0.9,2.0729
0.78,0.9,3.56805
0.71,0.85,3.37675
0.53,0.97,2.79015
0.88,0.48,2.33485
0.94,0.49,2.15525
0.11,0.98,1.3877
0.42,0.88,2.43105
0.52,0.68,2.79485
0.44,0.09,2.78395
0.87,0.96,3.8442
0.13,0.74,1.46605
0.25,0.66,1.9329
0.13,0.52,1.55045
0.72,0.56,3.09535
0.23,0.83,1.8281
0.34,0.48,2.2654
0.2,0.35,1.86215
0.67,0.86,3.24945
0.11,0.49,1.45655
0.44,0.54,2.57105
0.66,0.38,2.47645
0.9,0.04,3.02345
0.65,0.21,2.5709
0.37,0.34,2.34145
0.39,0.04,2.89675
0.99,0.16,2.7689
0.61,0.97,3.0344
0.09,0.37,1.427
0.31,0.58,2.15225
0.66,0.34,2.5209
0.17,0.27,1.7887
0.37,0.25,2.39775
0.34,0.97,2.17195
0.56,0.13,2.72765
0.79,0.99,3.5984
0.49,0.8,2.68005
0.7,0.61,3.1016
0.65,0.82,3.17065
0.26,0.9,1.9227
0.91,0.34,2.35795
0.83,0.39,2.3622
0.62,0.99,3.06125
0.09,0.0,2.9431
0.36,0.42,2.35355
0.07,0.86,1.26665
0.86,0.11,2.84595
0.09,0.73,1.3491
0.96,0.26,2.53715
0.82,0.38,2.31675
0.07,0.85,1.27805
1.0,0.03,3.07285
0.67,0.6,3.14555
0.27,0.43,2.0482
0.95,0.86,4.0919
0.6,0.93,3.0083
0.09,0.08,2.1456
0.45,0.54,2.60895
0.84,0.96,3.74265
0.06,0.28,1.35405
0.94,0.75,3.89345
0.44,0.83,2.5301
0.01,0.73,1.04305
0.41,0.7,2.44135
0.06,0.12,1.6298
0.75,0.93,3.47035
0.8,0.34,2.4078
0.56,0.2,2.58205
0.04,0.75,1.1636
0.16,0.59,1.62595
0.91,0.23,2.59575
0.76,0.63,3.35205
0.33,0.06,2.80955
0.06,0.84,1.2222
0.75,0.0,3.09085
0.37,0.49,2.35
0.38,0.57,2.37515
0.9,0.08,2.9321
0.36,0.51,2.34275
0.37,0.67,2.33395
0.28,0.12,2.5895
0.91,0.37,2.27845
0.55,0.6,2.86565
0.73,0.14,2.76215
0.4,0.07,2.81505
0.8,0.7,3.5242
0.54,0.95,2.8162
0.75,0.17,2.70125
0.82,0.19,2.65585
0.86,0.68,3.5209
0.42,0.64,2.49555
0.75,0.89,3.4736
0.08,0.44,1.36395
0.16,0.69,1.6059
0.1,0.52,1.42645
0.26,0.44,2.0221
0.1,0.72,1.40395
1.0,0.53,2.294
0.54,0.28,2.4849
0.38,0.49,2.41375
0.91,0.6,2.85755
0.11,0.55,1.44595
0.05,0.45,1.2453
0.68,0.11,2.8163
0.56,0.35,2.5359
0.4,0.24,2.45845
0.07,0.73,1.2837
0.13,0.45,1.56915
0.28,0.58,2.0522
0.8,0.09,2.87655
0.84,0.2,2.65275
0.33,0.64,2.20495
0.4,0.09,2.785
0.34,0.31,2.3143
0.06,0.99,1.21345
0.52,0.48,2.69755
0.48,0.78,2.63835
0.97,0.63,2.57615
0.55,0.97,2.8324
0.19,0.94,1.67865
0.29,0.28,2.2182
0.21,0.48,1.8469
0.03,0.3,1.201
0.14,0.76,1.51745
0.58,0.46,2.68535
0.87,0.43,2.37975
0.41,0.22,2.48655
0.1,0.39,1.4639
0.53,0.55,2.80345
0.19,0.27,1.90295
0.89,0.23,2.58745
0.22,0.75,1.7812
0.03,0.98,1.09835
0.48,0.79,2.6493
0.73,0.73,3.43335
0.0,0.16,1.146
0.94,0.3,2.4348
0.93,0.84,4.0366
0.99,0.57,2.62995
0.84,0.61,3.03645
0.47,0.96,2.5798
0.59,0.17,2.64525
0.31,0.5,2.16955
0.02,0.63,1.09155
0.3,0.61,2.11325
0.56,0.81,2.885
0.14,0.0,2.9529
0.93,0.65,3.2034
0.32,0.91,2.14055
0.61,0.11,2.79495
0.54,0.18,2.62485
0.07,0.69,1.286
0.62,0.43,2.6215
0.78,0.64,3.2742
0.91,0.1,2.88665
0.47,0.99,2.58715
0.06,0.72,1.2315
0.82,0.08,2.91665
0.86,0.72,3.524
0.66,1.0,3.1826
0.3,0.54,2.1078
0.14,0.06,2.4893
0.68,0.88,3.2747
0.51,0.8,2.76165
0.57,0.12,2.75055
0.34,0.98,2.17415
0.33,0.97,2.1272
0.34,0.91,2.1809
0.64,0.24,2.5327
0.49,0.54,2.70155
0.57,0.79,2.94095
0.81,0.08,2.91165
0.49,0.45,2.601
0.45,0.08,2.8195
0.31,0.51,2.167
0.48,0.37,2.55095
0.89,0.54,2.5909
0.81,0.52,2.58465
0.47,0.0,3.0347
0.02,0.49,1.1054
0.19,0.75,1.6913
0.3,0.78,2.07315
0.25,0.18,2.2905
0.06,0.75,1.22855
0.33,0.0,2.9975
0.58,0.38,2.57475
0.05,0.59,1.21225
0.53,0.71,2.8339
0.83,0.36,2.3402
0.13,0.08,2.42285
0.46,0.77,2.586
0.28,0.91,1.98795
0.39,0.58,2.39155
0.11,0.71,1.44375
0.23,0.72,1.84625
0.86,0.48,2.3246
0.64,0.61,3.08935
0.36,0.04,2.8915
0.32,0.63,2.17275
0.57,0.33,2.4843
0.29,0.84,2.0305
0.8,0.42,2.33
0.89,1.0,3.8902
0.58,0.11,2.79075
0.3,0.7,2.10015
0.15,0.36,1.67405
0.68,0.25,2.48475
0.53,0.87,2.77925
0.22,0.7,1.832
0.31,0.94,2.08925
0.25,0.09,2.65125
0.62,0.41,2.5263
0.38,0.06,2.84395
0.28,0.68,2.01935
0.6,0.65,3.0553
0.94,0.39,2.24745
0.41,0.03,2.9152
0.44,0.63,2.5442
0.33,0.95,2.16285
0.9,0.81,3.88565
0.7,0.21,2.57655
0.06,0.63,1.2516
0.13,0.88,1.48145
0.23,0.86,1.82515
0.91,0.25,2.56305
0.14,0.29,1.6503
0.0,0.64,1.01075
0.67,0.54,3.04205
0.68,0.09,2.8498
0.37,0.13,2.65755
1.0,0.25,2.57025
0.34,0.19,2.44135
0.99,0.12,2.8615
0.4,0.16,2.58485
0.37,0.62,2.3395
0.76,0.79,3.5308
0.48,0.04,2.91595
0.56,0.39,2.5428
0.55,0.36,2.53285
0.58,0.27,2.47675
0.48,0.16,2.63195
0.93,0.44,2.2589
0.96,0.18,2.70865
0.42,0.39,2.47875
0.41,0.61,2.4768
0.59,0.41,2.6819
0.39,0.53,2.42895
0.83,0.19,2.66665
0.26,0.93,1.91135
0.69,0.99,3.2563
0.66,0.63,3.1936
0.57,0.62,2.92025
0.19,0.39,1.8059
0.27,0.84,1.96985
0.85,0.5,2.583
0.3,0.49,2.12425
0.88,0.18,2.699
0.13,0.11,2.14
1.0,0.38,2.2925
0.62,0.0,3.06325
0.59,0.57,2.9355
0.46,0.57,2.6157
0.37,0.21,2.4741
0.76,0.06,2.94375
1.0,0.08,2.94815
0.62,0.66,3.1047
0.94,0.89,4.06285
0.11,0.58,1.4648
0.23,0.31,1.99145
0.77,0.5,2.65255
0.13,0.6,1.52395
0.71,0.97,3.33265
0.13,0.73,1.49695
0.93,0.46,2.15935
0.11,0.04,2.58805
0.56,0.23,2.5255
0.92,0.38,2.3138
0.87,0.19,2.6598
0.78,0.41,2.44605
0.61,0.79,3.0689
0.47,0.73,2.623
0.89,0.63,3.09045
0.55,0.44,2.7141
0.26,0.62,1.9792
0.55,0.21,2.55495
0.21,0.65,1.7899
0.94,0.42,2.25425
0.17,0.78,1.6174
0.81,0.0,3.1059
0.51,0.81,2.7467
0.06,0.08,2.0146
0.1,0.87,1.38555
0.87,0.27,2.48605
0.2,0.1,2.5005
0.44,0.17,2.6012
0.16,0.4,1.68995
0.95,0.41,2.2994
0.14,0.27,1.67525
0.18,0.5,1.7263
0.81,0.04,2.99325
0.55,0.61,2.8755
0.22,0.03,2.87195
0.78,0.35,2.3875
0.42,0.93,2.41995
0.02,0.32,1.1412
0.64,0.22,2.5588
0.6,0.66,3.0217
0.06,0.67,1.23365
0.5,0.72,2.72705
0.93,0.27,2.52475
0.37,0.18,2.5257
0.13,1.0,1.46035
0.15,0.95,1.5264
0.09,0.45,1.41805
0.0,0.37,1.0425
0.23,0.66,1.86475
0.92,0.31,2.42595
0.24,0.37,1.9861
0.65,0.56,2.97225
0.77,0.82,3.5602
0.07,0.47,1.3149
0.06,0.44,1.28585
0.62,0.94,3.0748
0.25,0.02,2.9073
0.46,0.79,2.59465
0.23,0.51,1.90115
0.01,0.8,1.0379
0.27,0.54,2.01225
0.6,0.95,3.0332
0.9,0.75,3.74065
0.19,0.16,2.2017
0.83,0.63,3.23465
0.74,0.16,2.69555
0.63,0.63,3.0307
0.11,0.93,1.4023
0.52,0.98,2.7662
0.63,0.12,2.77865
0.31,0.85,2.0905
0.92,0.29,2.4467
0.42,0.17,2.5729
0.8,0.46,2.4133
0.74,0.21,2.5831
0.67,1.0,3.19915
0.47,0.25,2.50615
0.93,0.72,3.7431
0.03,0.13,1.40105
0.21,0.15,2.30215
0.72,0.99,3.36315
0.33,0.36,2.2642
0.86,0.82,3.7983
0.85,0.71,3.4751
0.69,0.24,2.53415
0.86,0.28,2.4898
0.04,0.35,1.22935
0.16,0.82,1.6006
0.59,0.5,2.84125
0.8,0.15,2.73995
0.68,0.2,2.6063
0.97,0.23,2.5952
0.94,0.69,3.5638
0.67,0.78,3.2636
0.04,0.64,1.1772
0.24,0.47,1.9365
0.52,0.19,2.57685
0.21,0.91,1.75535
0.03,0.88,1.10005
0.57,0.23,2.5345
0.8,0.48,2.5465
0.61,0.4,2.52365
0.42,0.95,2.4194
0.62,0.37,2.4517
0.77,0.44,2.5007
0.01,0.88,1.04035
0.99,0.0,3.13945
0.87,0.65,3.2021
0.96,0.87,4.11725
0.24,0.87,1.8525
0.38,0.35,2.39375
0.75,0.47,2.69455
0.38,0.46,2.3698
0.34,0.12,2.64405
0.94,0.1,2.8838
0.32,0.71,2.14435
0.55,0.75,2.87055
0.82,0.31,2.42965
0.14,0.74,1.51795
0.26,0.88,1.9324
0.5,0.85,2.71105
0.07,0.25,1.41875
0.69,0.77,3.2778
0.28,0.9,1.96985
0.17,0.43,1.70405
0.46,0.65,2.62465
0.3,0.39,2.16765
0.01,0.86,1.0412
0.84,0.02,3.06775
0.25,0.63,1.92235
0.07,0.72,1.2837
0.04,0.13,1.4239
0.51,0.56,2.7605
0.73,0.17,2.6875
0.82,0.8,3.68415
0.06,0.17,1.4629
0.98,0.5,2.1523
0.92,0.85,4.0152
0.17,0.73,1.6571
0.82,0.27,2.48945
0.35,0.0,2.9998
0.86,0.42,2.3205
0.41,0.81,2.42805
0.35,0.55,2.2812
0.0,0.48,1.0181
0.48,0.76,2.67705
0.93,0.09,2.91755
0.64,0.49,2.8236
0.68,0.85,3.2692
0.71,0.09,2.86725
0.89,0.25,2.54185
0.43,0.3,2.42335
0.61,0.69,3.06885
0.5,0.65,2.72595
0.42,0.9,2.43645
0.08,0.07,2.17915
0.78,0.85,3.57715
0.91,0.5,2.36595
0.59,0.94,2.96575
0.31,0.21,2.359
0.16,0.45,1.67035
0.86,0.49,2.47765
0.54,0.03,2.97735
0.19,0.72,1.71095
0.69,0.05,2.9585
0.92,0.48,2.3232
0.52,0.58,2.77275
0.33,0.31,2.2967
0.04,0.06,2.0338
0.08,0.31,1.4202
0.43,0.57,2.538
0.3,0.19,2.37005
0.83,0.75,3.68925
0.45,0.42,2.54705
0.35,0.16,2.5652
0.94,0.53,2.21385
0.95,0.92,4.0844
0.89,0.08,2.92415
0.16,0.96,1.58185
0.83,0.46,2.28775
0.98,0.45,2.1728
0.73,0.62,3.2024
0.05,1.0,1.17375
0.63,0.71,3.1139
0.25,0.77,1.9003
0.1,0.62,1.40475
0.82,0.47,2.47065
0.48,0.61,2.6839
0.65,0.77,3.2003
0.98,0.09,2.9147
0.37,0.42,2.38695
0.33,0.3,2.2866
0.87,0.53,2.5653
0.88,0.93,3.861
0.74,0.24,2.5242
0.43,0.14,2.649
0.23,0.36,1.97555
0.6,0.13,2.7412
0.8,0.2,2.64155
0.77,0.73,3.5513
0.11,0.92,1.4064
0.27,0.77,1.98915
0.46,0.28,2.50805
0.15,0.52,1.6095
0.29,0.18,2.40715
0.61,0.62,3.058
0.14,0.83,1.51535
0.02,0.0,2.92515
0.19,0.25,1.92225
0.51,0.23,2.51475
0.12,0.39,1.5407
1.0,0.39,2.3042
0.21,0.67,1.78165
0.14,0.54,1.56705
0.3,0.67,2.0993
0.9,0.33,2.3652
0.33,0.47,2.228
0.34,0.84,2.19455
0.51,0.42,2.5984
0.21,0.34,1.877
0.36,0.99,2.2195
0.76,0.57,2.9221
0.18,0.63,1.7061
0.45,0.09,2.7952
0.83,0.68,3.3921
0.4,0.89,2.35685
0.27,0.56,2.0138
0.25,1.0,1.87385
0.77,0.95,3.5476
0.42,0.86,2.4326
0.58,0.72,2.9853
0.01,0.65,1.0465
0.61,0.65,3.0765
0.45,0.26,2.4824
0.5,0.51,2.65545
0.18,0.91,1.642
0.48,0.66,2.66525
0.34,0.24,2.3758
0.47,0.14,2.67315
0.52,0.37,2.53735
0.16,0.49,1.64625
0.73,0.13,2.7668
0.15,0.6,1.6004
0.98,0.37,2.31085
0.38,0.41,2.37875
0.97,0.51,2.32435
0.49,0.87,2.676
0.78,0.77,3.56415
0.25,0.46,1.96645
0.38,0.67,2.3468
0.75,0.69,3.4445
0.19,0.17,2.12995
0.36,0.81,2.25995
0.04,0.86,1.1475
0.71,0.29,2.462
0.21,0.19,2.14305
0.42,0.01,2.9914
0.16,0.99,1.55555
0.85,0.86,3.765
0.69,0.73,3.28165
0.46,0.0,3.02735
0.37,0.46,2.36145
0.79,0.42,2.3879
0.87,0.13,2.80245
0.97,0.64,2.99335
0.25,0.3,2.05265
0.02,0.08,1.6002
0.03,0.58,1.13115
0.49,0.61,2.73145
0.64,0.45,2.58205
0.03,0.73,1.12705
0.96,0.01,3.1085
0.2,0.46,1.80225
0.01,0.21,1.1434
