x,y,score
0.08,0.35,1.4053
0.68,0.89,3.2576
0.99,1.0,4.18675
0.61,0.37,2.614
0.02,0.96,1.0746
0.94,0.0,3.13055
0.71,0.78,3.37395
0.09,0.02,2.792
0.46,0.16,2.645
0.3,0.07,2.7544
0.94,0.83,4.0473
0.25,0.01,2.9547
0.78,0.53,2.752
0.24,0.45,1.955
0.1,0.82,1.38925
0.27,0.33,2.12215
0.89,0.17,2.71945
0.5,0.19,2.5838
0.12,0.89,1.44055
0.57,0.07,2.87685
0.85,0.58,2.99465
0.03,0.67,1.13125
0.79,0.05,2.97855
0.18,0.3,1.8139
0.66,0.43,2.61555
0.41,0.6,2.4636
0.52,0.47,2.71335
0.53,0.05,2.9159
0.51,0.93,2.72495
0.8,0.32,2.43745
0.91,0.77,3.78495
0.57,0.84,2.93655
0.65,0.7,3.1594
0.6,0.23,2.52215
0.11,0.82,1.40015
0.46,1.0,2.5432
0.71,0.57,3.03305
0.28,0.08,2.7405
0.2,0.19,2.1061
0.82,0.03,3.03095
0.9,0.83,3.9405
0.68,0.02,3.0237
0.1,0.34,1.4792
0.97,0.02,3.09095
0.27,0.01,2.9627
0.84,0.82,3.77165
0.99,0.61,2.53215
0.18,0.48,1.7193
0.18,0.73,1.6752
0.79,0.15,2.7324
0.77,0.93,3.53025
0.58,0.8,2.9467
0.18,0.95,1.64595
0.21,0.71,1.80865
0.98,0.62,2.88515
0.23,0.97,1.79515
0.06,0.16,1.4826
0.53,0.36,2.4808
0.97,0.86,4.15715
0.26,0.42,2.03065
0.81,0.43,2.3609
0.2,0.12,2.38555
0.1,0.57,1.4036
0.15,0.35,1.66525
0.89,0.02,3.06725
0.51,0.7,2.77755
0.57,0.27,2.4752
0.11,0.19,1.68385
0.69,0.41,2.3582
0.68,0.83,3.2734
0.97,0.34,2.36775
0.36,0.11,2.6871
0.53,0.1,2.79265
0.19,0.47,1.7695
0.81,0.31,2.4093
0.66,0.86,3.21915
0.93,0.77,3.94605
0.82,0.05,2.98215
0.88,0.94,3.8551
0.33,0.39,2.2625
0.1,0.68,1.40305
0.84,0.95,3.7462
0.29,0.54,2.0939
0.96,0.41,2.2296
0.89,0.67,3.1592
0.91,0.12,2.8433
0.31,0.86,2.08945
0.11,0.2,1.641
0.06,0.77,1.2326
0.89,0.59,2.86175
0.01,0.38,1.0864
0.18,0.09,2.4124
0.2,0.72,1.7371
0.56,0.89,2.87885
0.19,0.48,1.766
0.33,0.63,2.2001
0.86,0.41,2.26615
0.51,0.19,2.59455
0.35,0.08,2.75895
0.51,0.69,2.77465
0.68,0.91,3.2445
0.78,0.73,3.57235
0.65,0.68,3.1889
0.4,0.44,2.4555
0.02,0.27,1.16805
0.3,0.89,2.04075
0.87,0.99,3.812
0.95,0.8,4.01795
0.58,0.76,2.9759
0.71,0.86,3.3624
0.44,0.13,2.6884
0.48,0.0,3.03245
0.57,0.63,2.9608
0.59,0.25,2.5028
0.95,0.45,2.1637
0.12,0.04,2.7162
0.21,0.3,1.94465
0.57,0.31,2.4893
0.26,0.94,1.92785
0.55,0.82,2.84545
0.73,0.83,3.4311
0.94,0.28,2.4849
0.74,0.14,2.75975
0.03,0.55,1.13425
0.28,0.81,1.99505
0.22,0.76,1.81835
0.26,0.45,2.03315
0.15,0.41,1.66855
0.85,0.02,3.0548
0.18,0.19,2.05245
0.11,0.09,2.2347
0.34,0.74,2.1927
0.99,0.67,3.11365
0.74,0.85,3.45595
0.91,0.29,2.4524
0.12,0.41,1.54065
0.17,0.03,2.83585
0.06,0.47,1.2699
0.88,0.68,3.45655
0.68,0.19,2.61365
0.44,0.59,2.57305
0.64,0.56,3.00865
0.17,0.24,1.8539
0.56,0.65,2.93355
0.63,0.48,2.7101
0.08,0.2,1.5318
0.24,0.82,1.8724
0.99,0.37,2.32705
0.89,0.42,2.27285
0.38,0.47,2.40215
0.68,0.22,2.54135
0.2,0.25,1.9643
0.27,0.27,2.1514
0.1,0.01,2.89795
0.41,0.8,2.41655
0.38,0.04,2.89045
0.69,0.98,3.28485
0.59,0.96,2.9775
0.18,0.21,1.9734
0.11,0.97,1.39945
0.03,0.82,1.12025
0.52,0.89,2.7957
0.75,0.97,3.4695
0.17,0.87,1.61555
0.87,0.48,2.33255
0.03,0.44,1.157
0.33,0.44,2.24305
0.76,0.32,2.4739
0.73,0.5,2.6942
0.26,0.28,2.12005
0.36,0.29,2.34405
0.28,0.11,2.6078
0.0,0.23,1.0726
0.87,0.0,3.117
0.26,0.61,1.98035
1.0,0.5,2.17045
0.35,0.61,2.2767
0.02,0.33,1.14005
0.52,0.76,2.7857
0.06,0.97,1.2148
0.98,0.06,2.99385
0.13,0.17,1.8835
0.24,0.64,1.9011
0.35,0.14,2.6107
0.11,0.94,1.3967
0.76,0.77,3.5051
0.67,0.45,2.63595
0.09,0.51,1.3833
0.99,0.31,2.4485
0.07,0.89,1.25445
0.65,0.43,2.62365
0.85,0.19,2.67015
0.91,0.58,2.6994
0.48,0.56,2.6792
0.66,0.06,2.92605
0.18,0.38,1.74715
0.56,0.64,2.908
0.72,0.43,2.44555
0.64,0.11,2.79545
0.38,0.45,2.41785
0.42,0.25,2.46205
1.0,0.63,2.7717
0.35,0.26,2.36265
0.03,0.18,1.2932
0.27,0.91,1.9561
0.8,0.26,2.50785
0.15,0.31,1.712
0.89,0.44,2.25045
0.61,0.87,3.07855
0.31,0.61,2.1656
0.72,0.45,2.55115
0.0,0.6,1.0142
0.98,0.82,4.13595
0.25,0.27,2.098
0.4,0.57,2.45
0.15,0.38,1.6566
0.6,0.2,2.61775
0.77,0.12,2.79355
0.52,0.15,2.66115
0.65,0.41,2.494
0.35,0.6,2.2643
0.93,0.29,2.45925
0.61,0.43,2.62525
0.45,0.63,2.60245
0.08,0.68,1.30885
0.89,0.37,2.3208
0.59,0.08,2.8613
0.1,0.38,1.4749
0.83,0.8,3.70905
0.02,0.69,1.0803
0.68,0.41,2.4997
0.22,0.48,1.9107
0.92,0.65,2.92255
0.77,1.0,3.54315
0.68,0.81,3.2773
0.11,0.26,1.5688
0.21,0.21,2.08775
0.84,0.37,2.37345
0.37,0.63,2.33645
0.61,0.85,3.05615
0.23,0.77,1.8335
0.65,0.66,3.1756
0.71,0.07,2.91045
0.33,0.68,2.1832
0.74,0.0,3.0854
0.01,0.48,1.06345
0.71,0.35,2.40185
0.96,0.32,2.41725
0.51,0.1,2.7913
0.75,0.73,3.43115
0.48,0.85,2.6418
0.98,0.42,2.21405
0.19,0.88,1.69145
0.11,0.77,1.4092
0.9,0.32,2.4089
0.87,1.0,3.83275
0.56,0.7,2.9217
0.11,0.27,1.571
0.02,0.88,1.0739
0.77,0.66,3.2509
0.8,0.8,3.6143
0.98,0.11,2.8743
0.75,0.33,2.3795
0.71,0.74,3.3478
0.3,0.3,2.21845
0.74,0.01,3.06465
0.38,0.86,2.3117
0.18,0.75,1.66095
0.91,0.55,2.4641
0.33,0.87,2.1592
0.18,0.61,1.6918
0.34,0.01,2.97325
0.09,0.94,1.32125
0.63,0.97,3.09165
0.04,0.07,1.8255
0.86,0.22,2.59435
0.0,0.89,0.9981
0.72,0.11,2.80745
0.82,0.64,3.35765
0.9,0.41,2.22825
0.42,0.72,2.48485
0.63,0.7,3.09775
1.0,0.58,2.39335
0.77,0.56,3.07015
0.15,0.79,1.5497
0.69,0.57,2.91255
0.65,0.67,3.13685
0.62,0.73,3.0824
0.53,0.63,2.84815
0.1,0.96,1.363
0.52,0.86,2.78185
0.29,0.51,2.09435
0.73,0.85,3.4268
0.84,0.28,2.46685
0.21,0.76,1.78355
0.33,0.61,2.19155
0.62,0.04,2.96635
0.98,0.59,2.5334
0.23,0.23,2.1446
0.14,0.78,1.5315
0.88,0.61,2.95755
0.23,0.41,1.9381
0.78,0.15,2.7387
0.55,0.33,2.4955
0.79,0.01,3.0795
0.89,0.3,2.434
0.69,0.16,2.6853
0.87,0.17,2.72555
0.66,0.16,2.68515
0.98,0.18,2.72365
0.54,0.36,2.5088
0.54,0.37,2.5361
0.83,0.07,2.93595
0.07,0.62,1.2951
0.01,0.77,1.03675
0.48,0.12,2.7357
0.52,0.35,2.49515
0.36,0.13,2.6403
0.23,0.73,1.8476
0.32,0.02,2.9411
0.94,0.4,2.24915
0.13,0.19,1.78945
0.05,0.14,1.50405
0.67,0.87,3.2361
0.79,0.74,3.5451
0.12,0.23,1.6796
0.22,0.8,1.8056
0.36,0.96,2.24605
0.38,0.91,2.32135
0.19,0.03,2.82475
0.12,0.91,1.42705
0.85,0.78,3.7146
0.29,0.57,2.0991
0.12,0.84,1.44775
0.75,0.08,2.8937
0.77,0.9,3.528
0.25,0.39,2.01105
0.58,0.19,2.59045
0.53,0.54,2.7933
0.4,0.98,2.3585
0.12,0.74,1.45855
0.33,0.7,2.1703
0.4,0.45,2.4545
0.76,0.2,2.6346
0.34,0.47,2.27605
0.2,0.29,1.91205
0.3,0.99,2.02755
0.54,0.42,2.65715
0.11,0.72,1.41605
0.86,0.56,2.795
0.48,0.52,2.6582
0.27,0.31,2.1246
0.59,0.02,3.01035
0.43,0.45,2.5113
0.36,0.48,2.3271
0.19,0.37,1.80655
0.19,0.5,1.76695
0.04,0.76,1.167
0.5,0.23,2.54285
0.92,0.28,2.48195
0.93,0.11,2.86325
0.24,0.66,1.889
0.33,0.69,2.18535
0.17,0.52,1.67915
0.1,0.16,1.7548
0.55,0.24,2.52475
0.64,0.55,3.09475
0.38,0.15,2.6043
0.66,0.94,3.19405
0.16,0.31,1.7169
0.49,0.66,2.7154
0.84,0.27,2.47865
0.68,0.47,2.7293
0.74,0.34,2.4575
0.15,0.1,2.261
0.85,0.96,3.7484
0.64,0.31,2.4204
0.76,0.01,3.06425
0.74,0.83,3.45845
0.21,0.51,1.85
0.84,0.9,3.7585
0.97,0.11,2.87635
0.83,0.6,2.8814
0.7,0.9,3.3151
0.97,0.69,3.4566
0.41,0.2,2.5191
0.02,0.09,1.4961
0.95,0.36,2.31435
0.17,1.0,1.6033
0.43,0.86,2.47055
0.61,0.13,2.7389
0.08,0.53,1.34735
0.3,0.34,2.1636
0.76,0.02,3.0429
0.57,0.91,2.9191
0.14,0.56,1.5596
0.31,0.7,2.10565
0.22,0.2,2.1308
0.26,0.36,2.06535
0.54,0.97,2.8293
0.34,0.57,2.2588
0.17,0.89,1.6171
0.7,0.55,2.89475
0.07,0.14,1.68765
0.32,0.9,2.1151
0.23,0.08,2.65835
0.45,0.16,2.6299
0.08,0.32,1.4127
0.5,0.97,2.68395
0.37,1.0,2.262
0.34,0.0,3.0032
0.47,0.88,2.6136
0.9,0.82,3.9068
0.83,0.67,3.423
0.01,0.87,1.04065
0.49,0.31,2.51475
0.69,0.89,3.3081
0.5,0.1,2.7876
0.98,0.83,4.08915
0.71,0.91,3.3659
0.95,0.18,2.72485
0.25,0.33,2.0493
0.29,0.16,2.4516
0.27,0.66,1.98815
0.77,0.21,2.61125
0.13,0.46,1.54655
0.42,0.82,2.46595
0.39,0.19,2.5395
0.95,0.76,3.76625
0.75,0.8,3.498
0.05,0.67,1.19265
0.24,0.53,1.91105
0.79,0.25,2.5167
0.62,0.88,3.06845
0.19,0.54,1.73905
0.25,0.72,1.923
0.85,0.85,3.7949
0.58,0.15,2.692
0.18,0.37,1.77835
0.18,0.32,1.78175
0.44,0.77,2.53185
0.0,0.26,1.0605
0.79,0.81,3.5692
0.25,0.28,2.0901
0.72,0.63,3.2606
0.86,0.52,2.5387
0.33,0.46,2.2275
0.46,0.74,2.59205
0.78,0.22,2.58705
0.0,0.22,1.07655
0.36,0.1,2.71815
0.61,0.94,3.04555
0.97,0.87,4.1535
0.07,0.24,1.43955
0.64,0.94,3.1195
0.64,0.07,2.89355
0.43,0.56,2.55475
0.56,0.83,2.90805
0.33,0.86,2.17465
1.0,0.87,4.2417
0.45,0.44,2.5806
0.38,0.84,2.3343
0.83,0.45,2.3583
0.71,0.14,2.7464
0.57,0.61,2.8973
0.63,0.16,2.6797
0.02,0.15,1.31625
0.89,0.26,2.52215
0.69,0.58,3.12465
0.88,0.07,2.9466
0.36,0.05,2.8658
0.49,0.21,2.5714
0.06,0.81,1.22435
0.83,0.06,2.9607
0.37,0.56,2.35055
0.73,0.11,2.81065
0.66,0.42,2.61925
0.65,0.54,2.9551
0.81,0.51,2.5126
0.39,0.68,2.3693
0.66,0.69,3.1954
0.74,0.41,2.39735
0.09,0.67,1.35895
0.65,0.16,2.6822
0.84,0.99,3.716
0.95,0.99,4.069
0.82,0.13,2.80325
0.85,0.87,3.7884
0.53,0.7,2.81065
0.88,0.39,2.297
0.15,0.13,2.2087
0.42,0.43,2.4078
0.86,0.9,3.8226
0.41,0.42,2.4667
0.2,0.02,2.8864
0.33,0.41,2.2431
0.64,0.86,3.1512
0.45,0.75,2.5757
0.14,0.3,1.6896
0.0,0.62,1.01155
0.26,0.6,1.99125
0.3,0.38,2.1668
0.64,0.37,2.52935
0.18,0.17,2.0981
0.0,0.08,1.3783
0.46,0.06,2.8608
0.78,0.42,2.4165
0.15,0.64,1.5618
0.81,0.72,3.59665
0.41,0.39,2.3962
0.86,0.91,3.8096
0.28,0.02,2.9286
0.73,0.92,3.4068
0.12,0.64,1.49145
0.94,0.52,2.3691
0.3,0.04,2.8645
0.06,0.2,1.44285
0.49,0.02,2.98485
0.86,0.61,2.999
0.75,0.26,2.5047
0.01,0.95,1.03175
0.91,0.35,2.35155
0.56,0.38,2.6177
0.73,0.7,3.3965
0.67,0.12,2.78065
0.19,0.64,1.7333
0.22,0.95,1.76975
0.77,0.08,2.89435
0.73,0.75,3.43285
0.16,0.07,2.5951
0.28,0.96,1.97135
0.52,0.73,2.80455
0.69,0.09,2.8471
0.85,0.98,3.79445
0.55,0.38,2.55255
0.21,0.45,1.8592
0.27,0.21,2.26815
0.16,0.22,1.87605
0.18,0.27,1.8443
0.23,0.85,1.79935
0.88,0.04,3.02855
0.4,0.22,2.48495
0.26,0.12,2.54395
0.25,0.78,1.87835
0.84,0.33,2.3841
0.52,0.12,2.7246
0.76,0.05,2.97775
0.54,0.11,2.76605
0.84,0.87,3.76205
0.28,0.75,2.02625
0.56,0.59,2.9125
0.34,0.68,2.22545
0.18,0.87,1.65855
0.41,0.14,2.6562
0.48,0.45,2.5748
0.04,0.17,1.33915
0.75,0.75,3.4855
0.9,0.28,2.4768
0.5,0.37,2.55835
0.0,0.0,2.9195
0.39,0.51,2.422
0.58,0.59,2.929
0.19,0.93,1.67215
0.52,0.29,2.5343
0.07,0.46,1.3156
0.01,0.72,1.0385
0.39,0.67,2.39045
0.54,0.87,2.81875
0.56,0.22,2.5465
0.61,0.39,2.56445
